Mitch Haniger,R
Derek Dietrich,L
Wilmer Flores,R
Manny Pina,R
Aaron Hicks,B
Jason Kipnis,L
Aristides Aquino,R
Curt Casali,R
Corey Dickerson,L
Mike Freeman,L
Yolmer Sanchez,B
Josh Reddick,L
Jesse Winker,L
Cesar Puello,R
Franmil Reyes,R
Pablo Sandoval,B
Didi Gregorius,L
Myles Straw,R
Tim Locastro,R
Jake Cave,L
Ender Inciarte,L
Adam Haseley,L
A.J. Pollock,R
Stephen Vogt,L
Ben Gamel,L
Austin Romine,R
Adam Engel,R
Chad Pinder,R
Dominic Smith,L
Mike Ford,L
Robbie Grossman,B
Delino DeShields,R
Yan Gomes,R
Robinson Cano,L
Martin Maldonado,R
Nick Senzel,R
Adeiny Hechavarria,R
Tucker Barnhart,L
Adam Duvall,R
Anthony Santander,B
Austin Barnes,R
Austin Slater,R
Shed Long,L
Mitch Moreland,L
Joey Votto,L
Michael Chavis,R
Dustin Garneau,R
Michael Brosseau,R
Kurt Suzuki,R
Jordy Mercer,R
Phillip Ervin,R
Ehire Adrianza,B
Ryan McMahon,L
Matt Beaty,L
Jay Bruce,L
Trent Grisham,L
Renato Nunez,R
Joey Wendle,L
Stephen Piscotty,R
Randal Grichuk,R
Addison Russell,R
Wil Myers,R
Francisco Mejia,B
Pedro Severino,R
Willie Calhoun,L
Nomar Mazara,L
Alex Dickerson,L
Nathaniel Lowe,L
Dee Gordon,L
Brandon Belt,L
Billy Hamilton,B
Tim Lopes,R
Nick Solak,R
Dylan Moore,R
Vladimir Guerrero Jr.,R
Neil Walker,B
Harold Ramirez,R
Brandon Crawford,L
Sean Rodriguez,R
Nick Markakis,L
Tim Beckham,R
Rio Ruiz,L
Cam Gallagher,R
Tyler Wade,L
Jose Martinez,R
Rougned Odor,L
Tyler Austin,R
Mike Zunino,R
C.J. Cron,R
Tony Kemp,L
Josh Phegley,R
Charlie Culberson,R
Jeimer Candelario,B
Guillermo Heredia,R
Ben Zobrist,B
Austin Riley,R
Andrew Knapp,B
Josh VanMeter,L
Mauricio Dubon,R
Ryan Goins,L
Ronny Rodriguez,R
Justin Smoak,B
Kevin Plawecki,R
Logan Forsythe,R
Joe Panik,L
Roman Quinn,B
Luis Urias,R
Rowdy Tellez,L
Francisco Cervelli,R
Clint Frazier,R
Colin Moran,L
Ryan Zimmerman,R
Cory Spangenberg,L
Matt Thaiss,L
Greg Allen,B
Tyler O'Neill,R
Domingo Santana,R
Mallex Smith,L
Cole Tucker,B
Josh Rojas,L
Ty France,R
Jake Lamb,L
Billy McKinney,L
Jose Osuna,R
Derek Fisher,L
Ildemaro Vargas,B
Joey Rickard,R
Kyle Farmer,R
Erik Gonzalez,R
Brandon Dixon,R
Gordon Beckham,R
Willi Castro,B
Jesus Aguilar,R
Adam Jones,R
Jace Peterson,L
Matt Adams,L
Ryon Healy,R
Gerardo Parra,L
Charlie Tilson,L
Josh Naylor,L
Nick Martini,L
Daniel Murphy,L
Gregory Polanco,L
Jose Trevino,R
Wilmer Difo,B
Chance Sisco,L
Justin Upton,R
JaCoby Jones,R
Ian Kinsler,R
Yairo Munoz,R
Kevan Smith,R
Garrett Hampson,R
Nicky Lopez,L
Ryan Cordell,R
Sandy Leon,B
Hernan Perez,R
Willians Astudillo,R
Harold Castro,L
D.J. Stewart,L
Matt Wieters,B
Matt Duffy,R
Ian Desmond,R
Daniel Robertson,R
Max Stassi,R
Ronald Guzman,L
Zack Collins,L
Bryan Holaday,R
Miguel Cabrera,R
Luke Maile,R
Travis Demeritte,R
Jake Bauers,L
Odubel Herrera,L
Eric Hosmer,L
Albert Pujols,R
Justin Bour,L
Orlando Arcia,R
Marco Hernandez,L
Tomas Nido,R
Bubba Starling,R
Scooter Gennett,L
Maikel Franco,R
Steven Duggar,L
Johan Camargo,B
Tony Wolters,L
Chris Iannetta,R
Jonathan Lucroy,R
Pablo Reyes,R
Mac Williamson,R
Rosell Herrera,B
Leonys Martin,L
Carlos Gonzalez,L
Jose Peraza,R
Brandon Drury,R
Jake Rogers,R
Yonathan Daza,R
Dawel Lugo,R
J.T. Riddle,L
Josh Harrison,R
Jose Rondon,R
Steve Wilkerson,B
Jedd Gyorko,R
Humberto Arteaga,R
Melky Cabrera,B
Albert Almora Jr.,R
Tyler White,R
Austin Dean,R
Chris Owings,R
Juan Lagares,R
Keon Broxton,R
Dwight Smith Jr.,L
Mark Reynolds,R
Kendrys Morales,B
Travis Shaw,L
Daniel Descalso,L
Cheslor Cuthbert,R
Sam Travis,R
Jon Jay,L
Grayson Greiner,R
Jung Ho Kang,R
Zack Cozart,R
Raimel Tapia,L
Meibrys Viloria,L
Nick Williams,L
Khris Davis,R
Lucas Duda,L
Richie Martin Jr.,R
Eduardo Nunez,R
Welington Castillo,R
Ryan O'Hearn,L
Isiah Kiner-Falefa,R
John Hicks,R
Yonder Alonso,L
Martin Prado,R
Isan Diaz,L
Christin Stewart,L
Chris Davis,L
Curtis Granderson,L
Elias Diaz,R
Lewis Brinson,R
Jeff Mathis,R
